time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-30T02:36:14.150Z,19.2064991,-155.2563324,43.73,2.37,md,38,184,0.08014,0.17,hv,hv61049006,2015-09-30T02:39:37.370Z,"23km E of Pahala, Hawaii",earthquake
2015-09-30T02:33:42.760Z,34.2971667,-117.0056667,2.31,0.99,ml,25,71,0.04009,0.22,ci,ci37251327,2015-09-30T02:37:27.829Z,"10km NW of Big Bear Lake, California",earthquake
2015-09-30T02:03:20.340Z,33.645,-116.6313333,-0.2,0.17,ml,14,135,0.05522,0.36,ci,ci37251319,2015-09-30T02:07:22.289Z,"11km NNE of Anza, California",earthquake
2015-09-30T01:55:20.480Z,38.6277,-115.5738,6.1,1.4,ml,5,217.55,1.004,,nn,nn00512887,2015-09-30T01:57:14.663Z,"15km SW of Currant, Nevada",earthquake
2015-09-30T01:40:23.930Z,-32.8927,-177.2108,20.05,4.8,mb,,222,3.688,0.43,us,us10003j1i,2015-09-30T01:57:43.501Z,"227km SE of L'Esperance Rock, New Zealand",earthquake
2015-09-30T01:37:16.000Z,64.9771,-147.3662,0,1.4,ml,,,,0.32,ak,ak11727041,2015-09-30T02:06:21.416Z,"21km NNE of Badger, Alaska",earthquake
2015-09-30T01:11:07.160Z,19.3355007,-155.1060028,6.92,2.79,ml,54,149,0.04847,0.27,hv,hv61048896,2015-09-30T01:25:18.031Z,"17km SE of Volcano, Hawaii",earthquake
2015-09-30T01:09:46.750Z,36.8683333,-89.443,8.3,2.74,md,47,57,0.06698,0.16,nm,nm60091442,2015-09-30T02:43:22.506Z,"10km SW of Charleston, Missouri",earthquake
2015-09-30T01:07:56.060Z,33.6035,-116.8125,8.42,0.32,ml,15,85,0.03958,0.09,ci,ci37251311,2015-09-30T01:11:45.131Z,"14km WNW of Anza, California",earthquake
2015-09-30T01:06:57.740Z,-31.5035,-71.7664,14.47,4.7,mb,,82,0.72,1.02,us,us10003j0n,2015-09-30T01:43:06.063Z,"58km WNW of Illapel, Chile",earthquake
2015-09-30T00:50:08.410Z,39.5896,75.0034,39.98,4.4,mb,,160,2.476,0.78,us,us10003j0e,2015-09-30T01:32:46.768Z,"85km W of Kashi, China",earthquake
2015-09-30T00:34:46.060Z,36.1041667,-117.8421667,1.84,0.9,ml,12,128,0.01699,0.12,ci,ci37251303,2015-09-30T00:38:36.325Z,"12km NE of Coso Junction, California",earthquake
2015-09-29T23:45:41.360Z,34.2535,-117.0633333,8.73,1.74,ml,75,28,0.04827,0.2,ci,ci37251279,2015-09-29T23:57:09.800Z,"7km NE of Running Springs, California",earthquake
2015-09-29T23:25:51.820Z,37.0053329,-118.3539963,12.29,1.99,md,8,177,0.1105,0.04,nc,nc72532806,2015-09-29T23:49:02.936Z,"18km SSW of Big Pine, California",earthquake
2015-09-29T23:20:54.580Z,35.0321667,-117.6901667,0.28,1.93,ml,20,80,0.09768,0.33,ci,ci37251255,2015-09-29T23:24:51.226Z,"5km NW of Boron, California",quarry blast
